X3L_20369028	X3L_19017077	X3L_24126485	X_8440973	X_8582093	X2R_23607378	X3L_16099580	X2L_1673857	X3L_15024603	X_8230251	X2L_18669237	X2L_19019437	X2L_18954752	X2R_23666730	X2L_2228644	X3R_2124553	X2L_16963756	X2L_17942789	X2L_19249707	X2L_2607407	X2R_8637076	X_8376593
FBgn0266931	FBgn0003965	FBgn0263911	FBgn0260653	FBgn0032949	FBgn0267727	FBgn0003863	FBgn0036728	FBgn0034128	FBgn0262579	FBgn0034138	FBgn0004403	FBgn0260474	FBgn0000405	FBgn0030872	FBgn0035325	FBgn0000406	FBgn0263740	FBgn0037429	FBgn0036825	FBgn0261238	FBgn0030001
FBgn0036818	FBgn0036887	FBgn0266931	FBgn0263239	FBgn0083978	FBgn0011692	FBgn0040064	FBgn0047038	FBgn0033730	FBgn0264693	FBgn0028473	FBgn0030136	FBgn0025456	FBgn0034860	FBgn0000404	FBgn0003965	FBgn0261671	FBgn0283472	FBgn0037430	FBgn0015521	FBgn0263593	FBgn0053181
FBgn0036820	FBgn0052191	FBgn0036818	FBgn0264562	FBgn0259192	FBgn0015805	FBgn0031653	FBgn0035600	FBgn0033347	FBgn0001145	FBgn0004867	FBgn0016726	FBgn0016917	FBgn0034966	FBgn0047038	FBgn0036352	FBgn0266315	FBgn0030853	FBgn0037992	FBgn0031418	FBgn0264255	FBgn0003023
FBgn0036826	FBgn0040813	FBgn0036820	FBgn0035199	FBgn0259233	FBgn0016070	FBgn0003231	FBgn0031505	FBgn0030158	FBgn0003392	FBgn0017579	FBgn0010409	FBgn0000406	FBgn0010435	FBgn0027560	FBgn0041156	FBgn0267385	FBgn0036728	FBgn0038017	FBgn0031381	FBgn0264386	FBgn0033787
FBgn0036824	FBgn0023479	FBgn0036826	FBgn0035308	FBgn0261610	FBgn0016983	FBgn0000355	FBgn0000579	FBgn0069973	FBgn0000116	FBgn0011272	FBgn0033912	FBgn0028697	FBgn0264695	FBgn0031459	FBgn0035626	FBgn0031417	FBgn0001216	FBgn0038132	FBgn0053126	FBgn0267033	FBgn0014184
NA	FBgn0031461	NA	FBgn0030390	FBgn0035428	FBgn0031610	FBgn0036203	FBgn0021906	FBgn0261714	NA	FBgn0261593	FBgn0033699	FBgn0064225	FBgn0267727	FBgn0031389	NA	NA	FBgn0035982	FBgn0038676	NA	FBgn0267792	FBgn0003382
NA	NA	NA	FBgn0030539	FBgn0035429	FBgn0031435	FBgn0020906	NA	FBgn0027111	NA	FBgn0261602	FBgn0033555	FBgn0086687	FBgn0000404	FBgn0031360	NA	NA	FBgn0035909	FBgn0039264	NA	FBgn0004244	FBgn0010453
NA	NA	NA	FBgn0030617	FBgn0035398	NA	FBgn0087005	NA	FBgn0263353	NA	FBgn0010078	FBgn0033439	FBgn0261599	FBgn0023177	FBgn0000579	NA	NA	NA	FBgn0002578	NA	NA	FBgn0030718
NA	NA	NA	FBgn0036780	FBgn0066365	NA	FBgn0250815	NA	FBgn0265296	NA	FBgn0034968	FBgn0025286	FBgn0261671	NA	NA	NA	NA	NA	FBgn0051076	NA	NA	FBgn0010263
NA	NA	NA	FBgn0052499	FBgn0030459	NA	FBgn0261397	NA	FBgn0266095	NA	FBgn0002607	FBgn0028473	FBgn0010198	NA	NA	NA	NA	NA	FBgn0039851	NA	NA	FBgn0024963
NA	NA	NA	FBgn0031579	FBgn0036780	NA	FBgn0262608	NA	FBgn0267252	NA	FBgn0260441	FBgn0039757	FBgn0030927	NA	NA	NA	NA	NA	FBgn0033115	NA	NA	FBgn0003900
NA	NA	NA	NA	NA	NA	FBgn0034871	NA	FBgn0030258	NA	FBgn0011284	FBgn0040227	NA	NA	NA	NA	NA	NA	FBgn0034661	NA	NA	FBgn0250907
NA	NA	NA	NA	NA	NA	FBgn0035020	NA	FBgn0004623	NA	NA	FBgn0023416	NA	NA	NA	NA	NA	NA	FBgn0033887	NA	NA	FBgn0261341
NA	NA	NA	NA	NA	NA	FBgn0004552	NA	FBgn0040074	NA	NA	FBgn0039713	NA	NA	NA	NA	NA	NA	FBgn0033721	NA	NA	FBgn0261800
NA	NA	NA	NA	NA	NA	FBgn0030610	NA	FBgn0015558	NA	NA	FBgn0017579	NA	NA	NA	NA	NA	NA	FBgn0033359	NA	NA	FBgn0262139
NA	NA	NA	NA	NA	NA	FBgn0030693	NA	NA	NA	NA	FBgn0028697	NA	NA	NA	NA	NA	NA	FBgn0029093	NA	NA	FBgn0003888
NA	NA	NA	NA	NA	NA	FBgn0036579	NA	NA	NA	NA	FBgn0064225	NA	NA	NA	NA	NA	NA	FBgn0022740	NA	NA	FBgn0263705
NA	NA	NA	NA	NA	NA	FBgn0045823	NA	NA	NA	NA	FBgn0086710	NA	NA	NA	NA	NA	NA	FBgn0010424	NA	NA	FBgn0264562
NA	NA	NA	NA	NA	NA	FBgn0000358	NA	NA	NA	NA	FBgn0260499	NA	NA	NA	NA	NA	NA	FBgn0002632	NA	NA	FBgn0264711
NA	NA	NA	NA	NA	NA	FBgn0040060	NA	NA	NA	NA	FBgn0261593	NA	NA	NA	NA	NA	NA	FBgn0260955	NA	NA	FBgn0283508
NA	NA	NA	NA	NA	NA	FBgn0035665	NA	NA	NA	NA	FBgn0261599	NA	NA	NA	NA	NA	NA	FBgn0262735	NA	NA	FBgn0284435
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0261606	NA	NA	NA	NA	NA	NA	FBgn0263038	NA	NA	FBgn0035522
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0034743	NA	NA	NA	NA	NA	NA	FBgn0050413	NA	NA	FBgn0011653
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0034968	NA	NA	NA	NA	NA	NA	FBgn0003888	NA	NA	FBgn0035542
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0002607	NA	NA	NA	NA	NA	NA	FBgn0005638	NA	NA	FBgn0001145
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0010412	NA	NA	NA	NA	NA	NA	FBgn0035056	NA	NA	FBgn0003089
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0002590	NA	NA	NA	NA	NA	NA	FBgn0265011	NA	NA	FBgn0010352
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0011284	NA	NA	NA	NA	NA	NA	FBgn0267348	NA	NA	FBgn0001256
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0036213	NA	NA	NA	NA	NA	NA	FBgn0035428	NA	NA	FBgn0001253
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0005533	NA	NA	NA	NA	NA	NA	FBgn0035429	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0003941	NA	NA	NA	NA	NA	NA	FBgn0035430	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0066365	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0030569	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0043550	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0001256	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0036351	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0000451	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0001253	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0041156	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FBgn0035685	NA	NA	NA
